,0,1,2,3
0,Kothari Medical Centre,Kolkata,Had a Very Good Experience with Kothari Medical Centre AliporeFirst of all the admission procedure was very prompt. They did not take much time in admitting the patient.Secondly the Rooms were awesome. They were beautifully decorated to maintain a proper mental health of the patient. Ambience was extra ordinaryLast but not the least THE SERVICE.Starting from Doctors Nurses to the Housekeeping personnel everybody was very prompt and efficient in their respective duties. They gave the utmost care that a patient requires. They do not delay at all in their services quick action gives quick recovery to the patient.Also the behavior and attitude of the Staff are appreciable. Good behavior improves mental health and helps in quick recovery of the patient. Everybody was very polite and were very efficient in their respective services.The Doctors next to God The nurses are very efficient. The nursing in charge provides extra motivation and support to the patients. She is really a very good human beingThe only negative point about this Hospital was the Impolite and Arrogant behavior of the Help Desk Representative. An Excellent Experience overall ,6.899999842
0,Apollo Medical Centre Anna Nagar,Chennai,Excellent clinic. The staff is well trained efficient extremely courteous and attentive. The doctors are top notch and extremely dedicated. The cleanliness and the ambience is testimony to the care and attention being given to every minute detail. On Saturdays while patients wait for their appointments regular talks by experts are scheduled so that visitors can benefit from the knowledge. The head of the center is obviously an administrator par excellence bringing a personal touch to ensure that the patients get the best service. Whether it is a specially designedfor comfort chair in the dental room or a state of the art mammogram machine the clinic has it all. It is a blessing to have such a place nearby. I will strongly recommend this place to anyone who wants to go there.,6.799999863
0,Apollo Gleneagles Hospitals,Kolkata,Apollo Gleneagles hospital of Kolkata is a famous and popular hospital in the state of West Bengal. They have Highly advanced diagnostic systems and well trained doctors from all over the India . Emergency services are provided here for 24 7 hr . Outdoor facilities are available here. Trauma centre is available here. They have advanced medical laboratory and hygienic conditions of buildings. Surrounding area is clean and clear. Patients waiting area is good in condition. Toilets facilities are available here for free. Parking lots are available here for reasonable price. They have a cancer care centre also. Ambulance service are provided here for 24  7 hr. Inside the hospital campus two ATM bankings are available. They have cafeterias also . Nearest metro station is Bengal chemical and saltlake stadium. Overall care is well here.,6.399999999
0,"Narayana Multispeciality Hospital, Barasat",Kolkata,Excellent service received under West Bengal Halth Scheme (cash less) for treatment of my mother. Prompt caring at the Emergency as well as in the wards. Very Clean  floor and the toilet. Good quality food with long range of variety as suited for the patients are provided. Security personnel are very strict  especially the lady at the level 2 gate . Thanks to her and Sorry Mam as I was little bit impatient  by that time due to anxiety. Thanks to the sisters the floor management and the billing section  who are very much cordial  and always alert for providing the best possible service in a professional aptitude. Finally the  faculty Doctors who  paid visits as and when required and enabled my mother a speedy recovery. Thanks a lot to all of you.,5.699999899
0,"Columbia Asia Hospital Salt Lake, Kolkata",Kolkata,My wife delivered our first child in this hospital. I must admit we were overwhelmed with the overall services. The nurses in the floor were very caring and empathetic towards our baby and took great care of my wifes needs as well. The doctors were excellent and the lactation nurse took immense care in teaching my wife the necessary babycare . All the staffs are courteous and polite in behavior. The cleanliness is well maintained. They have a great cafe with a nice ambience at the top. So I will surely recommend my friends and family to the hospital for their flawless services.,5.59999986
0,Govind Ballabh Pant Hospital,Delhi,Good hospital . good facilities. Government hospitals in delhi are well maintained . Doctors are good. Clean compounds and special wards for specially abled people. A lot of medical students also come here and its is good. Sometimes you can face some issue in government hospital which i think is natural. Just be patient and co ordinate .,5.300000012
0,Kauvery Hospital - Chennai,Chennai,Very good hospital. Doctors sisters  and all staffs are very good. Their behaviour is also very good. Rooms and corridors are very much neat and clean. Mainly madam Jambukeshwari is very much cooperative. Behaviour of madam Ellen is also very good and helpful.,5.299999893
0,Fortis Escorts OPD,Delhi,A of the best hospitals with multiple award wins. Also home to center of sight which is one of the best opthalmology institute in the city. They have just the right number of staff to facilitate the patients. Its also a center for obtaining CGHS medicines and treatment. It has a ample parking for visitors and reserved parking for staff members. There is also a food court and pharmacy inside the institutional area. The close proximity to Sukhdev Vihar Metro Station makes it easily accessible. It is a little expensive but worth every penny spent.,5.199999928
0,AMRI Hospital Mukundapur,Kolkata,The place is actually a woman and child care hospital beautifully spaced and designed. However for some odd reason (probably due to the ghastly accident in one of its properties) it is called Vision care. Maternity and child care is top notch. Aftercare post operation is also great. Doctors are good and the nurses are well trained and friendly. Place is extremely hygiene even the toilets. Hospital canteen has good food and outdoor eateries are accommodated within hospital campus. Packages are available for surgery and childbirth.,5.099999897
0,Kauvery Hospital - Chennai,Chennai,Best hospital in Chennai. This is the first time we had gone through this hospital. Happy on our first visit. Doctors sisters  and all staffs are very kind in explaning the treatment and made us to feel comfortable. Ward girls are also very kind to patients. I could refer anybody who is in need of good treatment. Very well maintained hospital.  Overall satisfied with the experience.,4.99999997
0,Fortis Flt. Lt. Rajan Dhall Hospital,Delhi,This hospital deserves more than 5 star rating. Exceptional Team of Doctors. The sisters are very caring and prompt. From the house keeping to the all other team members they smile and greet with lot of positive energy and make one feel positive. Superb. I thank all from the bottom of my heart.,4.899999917
0,"Max Super Speciality Hospital, Saket (Max Saket)",Delhi,I would like to convey pleasure of gratitude and sense of gratification to the staffs of Max Hospital for providing me their full support from the very step of entering into the hospital premises till leaving the premises of the hospital. I found each and every person whether its billing department nurses or doctors much more co operative and friendly then some of the so called hospitals laundering money from the innocent people in the name of giving best treatment. He Doctors are well experienced there and they are treating to patients with love the doctors team are best. There are so many departments there Like Nephrology Cardiology Oncology etc. these are well departments max hospital provide good service to patients. I love this hospital but this hospital is little expensive. But good facilities available for foreign and local patients. Its such a clean and best hospital in terms of cure for almost all types of problems I have visited number of times there for myself and also few a types with my friends who need some treatment and by god grace every time my experience was very good and that is the reason I always prefer to come to this place whenever I am not well and need some medical attention price wise its a bit higher side but I dont mind It because they deliver best every time and as far as my health is concerned nothing is expensive.,4.700000048
0,Sant Parmanand Hospital,Delhi,Nice hospital for those who r rich. Even though it is expensive it offers well treatment. Excellent doctors and responsible workers. The doctors r really approachable. And the hospital and its environment r really neat and clean. But still it is soo expensive. In the emergency dept consultation fee is 300. But it is worth it.,4.699999928
0,Madhukar Rainbow Children's Hospital & BirthRight By Rainbow Hospitals,Delhi,The nurses were really caring towards the baby. Excellent staff and very well maintained. The whole building is hygienically very well maintained. Even the night staff including the nurses and surgeons were very well trained. Very good doctors.. they have a nice play area for the kids too to keep them distracted from all the pain.,4.699999928
0,Indraprastha Apollo Hospital,Delhi,Best hospital in Delhi. Advance facilities available. Dedicated section for foreigner patients. Good seating area for patient relatives. Cooperative staff. Very good hygiene. Canteen facility available for food. Easily visible from main road.,4.599999987
0,Kauvery Hospital - Chennai,Chennai,My father was briefly admitted here. The facility is well maintained. Clean and comfortable rooms with basic amenities such as a small microwave and refrigerator and clean well kept restrooms. The diagnosis and treatment were prompt and reliable. The nursing staff and attendants were courteous and professional. Overall we felt safe and well cared for.,4.499999918
0,Kauvery Hospital - Chennai,Chennai,We had a good experience with the hospital. Excellent service from both doctors and nurses. Great care and service with special mention to ward people. Hospital is neat and very clean. Comfortable rooms .,4.399999917
0,Apollo Speciality Hospitals,Chennai,Apollo Hospital Vanagaram is the best My mother had a knee replacement surgery recently and I cannot say enough about the excellent treatment and care she got at the hospital... The surgeon Dr.Bharani Kumar and his assistants are very knowledgeable and answered all our questions and concerns with patience... the nursing director Sister Shanthi and her staff are very caring  and kind...all the other non medical staff were very courteous... overall it was a very pleasant experience... the hospital itself is very clean and well maintained.... Kudos to the management under Mr.Kingsley Devraj,4.399999917
0,MIOT International,Chennai,Wonderful staff. They make you feel comfortable and are always aware of what a patient goes through. Though there are anxious moments in the hospital the staff calm down the nerves with their pleasant smile and welcoming attitude. Special thanks to Asifa who has made the entire treatment helpful and easy. God bless all the staff and doctors and pray for quick recovery for all patients,4.299999952
0,Aashlok Fortis Hospital,Delhi,Fortis Aashlok lives up to the Fortis name and offers amazing services. The hospital is very neat and clean and the staff is friendly and always ready to help. The hospital is a bit small but they have the latest technologies and facilities for their patients. The team of professionals is very knowledgeable and nice. Great hospital great experience,4.199999928
0,St.Stephen's Hospital,Delhi,This hospital is situated in the Tis Hazari near the Tis Harazi metro station.  The hospital is neat and clean. Doctors are cooperative and staff is also good. They hv all the important departments like Radiology Neurology Plastic surgery department etc. I cant say about the other department but Ophthalmology (eye) department was good. I went there for my regular eye check and i was very satisfied with the doctor. If you are going for the 1st time then registration fee is 170 and for revisit it is 150. There are many canteens on the premises of the hospital.,4.000000015
0,Madhukar Rainbow Children's Hospital & BirthRight By Rainbow Hospitals,Delhi,Great hospital. Took really good care of my son. Dr.Arun was very good. Food and rooms also very neat and clean. Housekeeping also did a very good job.,3.99999994
0,Moolchand Medcity,Delhi,My wife and I are extremely happy with the professional management and helpful attitude of the hospital management as a whole and the Mother  Childcare Centre in particular.  My sister I and both my children are Moolchand babies we were delivered by the expert gynaecologists here. Even today Moolchand is our preferred choice for your team of expert pediatricians. Your team of doctors are truly the best of the best which only shows that Moolchand management has a keen attention to detail and they ensure they have the best consultants on their expert panel. Moreover Moolchand is the most prime and strategic landmark in South Delhi and I have availed of your Emergency services on several occasions which offer truly world class services especially when a person needs critical professional medical help. I readily refer Moolchand Medicity and your team of expert doctors to my personal and professional network.,3.899999954
0,"Columbia Asia Hospital Salt Lake, Kolkata",Kolkata,Excellent service overall. Our patient (75 years) was admitted at a very very critical stage due to a fatal road accident but all the doctors nurses and the other medical staff did a superb job even in the middle of the night. Specially we received an overwhelming help within the scope of sheer professionalism by the receptionist(s) there at the night shift. I dont hesitate to take a special mention here Ms. Trisha Banerjee one of the customer care assistants there was just fabulous in helping us out. We had to keep bugging her over night for a lot of reasons since our patient was transferred from Emergency to finally Ventilation at ICU. She kept her cool and didnt held herself back from lending out a helping hand during the critical moments. Thanks and warm regards to everyone at Columbia Asia Salt Lake Kolkata.,3.799999975
0,"Columbia Asia Hospital Salt Lake, Kolkata",Kolkata,Great care from all. The staffs are very professional attentive and caring to provide the best service. Doctors are doing the best to get your health looked after. It has been the best hospital I have been to in my life. Thank you so much for kind care and service.,3.799999952
0,Fortis Flt. Lt. Rajan Dhall Hospital,Delhi,The experience at Fortis Hospital is excellent from the day i arrived seeing the doctors and laboratory staff. I had so much fear for what ever procedure that was to be done but meeting the counseling committee took all my fears away like magic and I was more than ready for the surgery. The nurses and doctors who visited me in ICU and the ward are marvelous and professional. They made me felt like I was home. The ward I was kept was like a mini football field and I enjoyed the space because I had the opportunity to walk around in the room as exercise. As a Ghanaian the food was my problem but when that was mentioned to the dietician she changed everything to suit my taste and I appreciate it because I enjoyed all the subsequent meals.I will recommend Fortis anytime anywhere for friends family members and work colleagues.Thank you all very much for contributing to save my life,3.699999996
0,Dr. Mehta's Hospitals,Chennai,Excellent service with a smile. Especially the staff are very friendly and took care of my mom very well. Had a very pleasant experience. Just two suggestion for the room we stayed. Bathroom door to be fixed room 107 A . Bathroomdoor mat need be changed once a day. Thank you and keep up the good work you guys rock. Sajid,3.699999906
0,AMRI Hospital Dhakuria,Kolkata,1. The Hospital is very well maintained in City. 2. Clean and well arranged3. The doctors are highly qualified and respectful. When my husband was admitted there the doctor used to visit 23 times in a day.4. Attendants  the nursing staff is very nice5.  are very good and nice 6. Parking arrangements are also there.,3.600000024
0,Dharamshila Narayana Superspeciality Hospital,Delhi,We are very thankful to all staff and doctors of   the hospital. I am happy that my husband cancer treatment is going on in good hands. And he is recovering well after surgery and  four chemo. All front office staff was very helpful. I am thankful to a staff for moral support also. Its an good cancer hospital.,3.499999978
0,"ILS Hospitals, Dumdum",Kolkata,Nice hospital . I went multiple time for myself and for family members. Good doctorsinvestigation process  and lab facility faster. Behaviour of staff is good. Overall good experience so far.,3.499999955
0,Cloudnine Hospital - Chennai,Chennai,I have visited the Cloudnine Hospital  Chennai for my sister treatment Just have to say the whole experience was one of the most professional Hospital. Honestly I think you could not fault anything at all.Excellent Nursing careApart from the above its services are very best with compare to other hospitals. They understand the patient and their family feeling and cooperates the situation to pay the money.A special appreciation to the Facilities department for cleanliness. Maintaining a clean environment is for the health of all humans as their health completely depends on the atmosphere.Rating full STARS.,3.399999976
0,Fortis Medical Centre,Kolkata,The Fortis Medical Center is our go to clinic in our neighbourhood. I took my daughter there after she was found suffering from high fever worried that it might be dengue or malaria. The staff there took her sample for testing and prescribed medicines. While the reports did allay our fears it was the kind words of the doctor on duty that I really liked. She did her best to put rest to our fear. Nice Work.,3.299999982
0,Fortis Flt. Lt. Rajan Dhall Hospital,Delhi,It was very nice experience at Fortis Hospital Vasant Kunj. I was diagnosed with Dengue and become fit and five within 4 days of treatment. I am feeling very relaxed now. One of the best that i felt here is that the Doctors are seems to be our guardian and the nursing and other related staff were so cooperative that I felt that I am in my  home. There are lots memorable incidence in these 4 days that i am bringing with.  Thank you Directors thank you nursing staffs (brothers and sisters) thank you every one for takingcare of mine. At last but not the least I really felt that this hospital is like a home of being treated here and my fight against Dengue.,3.299999967
0,FORTIS MALAR HOSPITAL CHENNAI,Chennai,We have been experiencing  excellent service and treatment both medical and social.  Both the medical and para medical staff have been showing  and extending very effective and useful service in order to have feature guidance. We are very mcuh satisfied that the care taken by the hospital is of high order. We thank the Malar hospital authorities for such wonderful treatment extended towards.,3.299999952
0,Dr. Mehta's Hospitals,Chennai,My new born baby was admitted in NICU for extreme preterm. Was transferred safely in Ambulance from other hospital. Was given good care and updated us about the baby daily. Doctors and nurses provided good care. Thanks to Dr V. Lakshmi Mam and her team for providing great care to our baby.,3.200000018
0,SIMS Hospital,Chennai,Specialist doctors are great. Excellent medical facility case and treatment. However  little bit costly. If you have insurance it is ideal place to get world class treatment.,3.100000024
0,MIOT International,Chennai,Really I am very happy to admit here.....  Right from the beginning all staffs are guiding such a beautiful manner....... Over all Im very happy... I request one thing to improve food quality..... Thank you to all....,3.100000009
0,AMRI Hospital Mukundapur,Kolkata,Good hospital for women especially. My friend had some medical issues and she was treated by a young lady doctor who was very efficient. I dont remember the name but she was really professional in her work. Listened to the problem in a polite way and treated the problem in a short period. Thanks,3.100000009
0,Rajiv Gandhi Government General Hospital,Chennai,This is my personal genuine experience of the Ortho Department  I had a very bad ligament tear and needed immediate treatment and for the first time I gathered all my guts and went to the Government Hospital. What I found there was quite interesting I found experienced doctors and very helpful medical students who treated my condition with utmost care and dedication. I was asked to come for 7 days continuous treatment and each day I was given amazing care. Finally they treated me of my full condition and I was sent back with a fully healed leg. I am sure there are many bad experiences for people with staff demanding money from patients but there are still amazing doctors and staff who are very genuine and helpful in the hospital and I totally recommend their service which is much better than a private hospital.,3.099999987
0,Moolchand Medcity,Delhi,It  is of immense pleasure for me to be under care of the most eminent cardiologist of Moolchand Medcity for last 6 years. Dr. Chopra  pin pointed my disease and treated me with lot of compassion and humility  His academic skill is enormous and my whole diagnosis was echo based in the echo lab of Moolchand hospital. The exemplary hospitality and the medical care by the management of the hospital is superb. I will make sure  that all my relatives and friends come to moolchand  medcity for   their medical care if they really want to have genuine and cost effective care.,3.099999964
0,Manipal Hospital Delhi,Delhi,Best place to get a treatment at affordable price. Staff and doctors are very friendly and always listen to you carefully. I have never seen such a good hospitality anywhere else in Delhi. I would recommend this Hospital for everyone.,3.099999964
0,"ILS Hospitals, Dumdum",Kolkata,Very helpful nursing staff extremely responsible. Lot depends on consulting doctor in our case we were fortunate (Pediatrics). Pediatrics care is great. We took a single cabin they allow one extra person apart from patient (for Pediatric cases child  mother are together construed as patient). Food quality diet and timing are well taken care of. Admission and discharge procedures were seamless (we were under cashless insurance plan). Prices charged seemed reasonable.,3.000000015
,0,1,2,3
,0,1,2,3
