,0,1,2
0,Apollo Children's Hospitals - Best hospital in chennai,Chennai,1.3399999931454658
0,SIMS Hospital,Chennai,0.4200000151991844
0,FORTIS MALAR HOSPITAL CHENNAI,Chennai,0.5600000023841858
0,Apollo Speciality Hospitals,Chennai,0.6200000047683716
0,Prime Indian Hospitals,Chennai,-0.3399999916553497
0,Kauvery Hospital - Chennai,Chennai,3.6199999392032622
0,Cloudnine Hospital - Chennai,Chennai,2.4599999651312827
0,Apollo Hospitals Tondiarpet,Chennai,0.4999999925494194
0,Dr. Mehta's Hospitals,Chennai,1.3399999871850015
0,Tamil Nadu Government Multi Super Speciality Hospital,Chennai,1.239999994635582
0,"VS Hospitals - Advanced Cancer Care - Chepet, Chennai",Chennai,-1.7199999794363976
0,Chennai Hospital,Chennai,0.0
0,Corporation Hospital,Chennai,0.37499999068677425
0,MIOT International,Chennai,2.5199999660253525
0,Apollo City Centre Hospital Sowcarpet,Chennai,0.4
0,Rajiv Gandhi Government General Hospital,Chennai,0.419999985396862
0,Apollo Medical Centre Anna Nagar,Chennai,2.3199999645352363
0,Apollo Speciality Hospitals,Chennai,-0.20000000298023224
0,Chennai Corporation Hospital,Chennai,0.1799999952316284
0,Chennai Corporation Hospital,Chennai,0.0
,0,1,2
0,Apollo Gleneagles Hospitals,Kolkata,1.119999997317791
0,kolkata hospital,Kolkata,0.13999999761581422
0,"Columbia Asia Hospital Salt Lake, Kolkata",Kolkata,3.43999994546175
0,AMRI Hospital Mukundapur,Kolkata,3.0799999669194222
0,AMRI Hospital Dhakuria,Kolkata,1.8199999898672103
0,Seth Sukhlal Karnani Memorial Hospital,Kolkata,-0.9599999904632568
0,Fortis Medical Centre,Kolkata,2.419999974966049
0,Fortis Hospital,Kolkata,-0.9399999871850013
0,IRIS Multispeciality Hospital,Kolkata,-1.319999995827675
0,Woodlands Multispeciality Hospital Limited,Kolkata,0.9999999880790711
0,DESUN Hospital And Heart Institute,Kolkata,-0.05999999046325684
0,Command Hospital,Kolkata,-1.0199999958276749
0,Kothari Medical Centre,Kolkata,1.1199999883770944
0,"ILS Hospitals, Dumdum",Kolkata,1.1599999904632567
0,AMRI Hospitals Saltlake Annexe,Kolkata,1.739999996125698
0,The Calcutta Medical Research Institute,Kolkata,-1.659999993443489
0,Medical College Hospital,Kolkata,-0.580000002682209
0,"Narayana Multispeciality Hospital, Barasat",Kolkata,1.119999986886978
0,Kolkata Port Trust Hospital,Kolkata,0.9799999907612801
0,ILS Hospitals,Kolkata,0.739999994635582
,0,1,2
0,Dharamshila Narayana Superspeciality Hospital,Delhi,0.5799999952316284
0,Aashlok Fortis Hospital,Delhi,2.3199999645352363
0,Sant Parmanand Hospital,Delhi,-0.1800000101327896
0,"Metro Hospital & Heart Institute, Lajpat Nagar, Delhi",Delhi,7.450580596923828e-09
0,Indraprastha Apollo Hospital,Delhi,2.8199999764561654
0,Fortis Flt. Lt. Rajan Dhall Hospital,Delhi,2.9199999675154684
0,"Max Super Speciality Hospital, Saket (Max Saket)",Delhi,-1.2799999743700028
0,St.Stephen's Hospital,Delhi,0.28000001311302186
0,Madhukar Rainbow Children's Hospital & BirthRight By Rainbow Hospitals,Delhi,2.9399999618530273
0,Delhi ENT Hospital,Delhi,0.9200000166893005
0,Apollo Spectra Hospitals,Delhi,1.119999971985817
0,Govind Ballabh Pant Hospital,Delhi,0.8599999770522118
0,Fortis Escorts OPD,Delhi,0.9199999809265137
0,Moolchand Medcity,Delhi,2.279999965429306
0,Apollo Spectra Hospitals,Delhi,-0.5199999988079071
0,Venkateshwar Hospital,Delhi,1.5999999836087226
0,Kalra Hospital,Delhi,-1.1599999889731407
0,Hospital,Delhi,0.22499999403953552
0,Manipal Hospital Delhi,Delhi,1.6799999713897704
0,Primus Super Speciality Hospital,Delhi,-1.0800000041723252
